Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome
27,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,19715,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0,2341.0
26,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,55,1,Male,48,1,1,Laboratory Technician,3,Single,10558,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1,2293.0
27,Travel_Frequently,994,Sales,8,3,Life Sciences,1,56,4,Male,37,3,3,Sales Executive,3,Single,2975,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7,8726.0
30,Travel_Frequently,721,Research & Development,1,2,Medical,1,57,3,Female,58,3,2,Laboratory Technician,4,Single,10781,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7,4011.0
41,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,58,2,Female,49,3,5,Research Director,3,Married,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8,19545.0
34,Non-Travel,1065,Sales,23,4,Marketing,1,60,2,Male,72,3,2,Sales Executive,3,Single,10034,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7,4568.0
37,Travel_Rarely,408,Research & Development,19,2,Life Sciences,1,61,2,Male,73,3,1,Research Scientist,2,Married,10227,4,Y,No,21,4,1,80,0,8,1,3,1,0,0,0,3022.0
46,Travel_Frequently,1211,Sales,5,4,Marketing,1,62,1,Male,98,3,2,Sales Executive,4,Single,20445,4,Y,Yes,21,4,3,80,0,14,4,3,9,6,0,8,5772.0
35,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,1,63,4,Male,36,4,1,Laboratory Technician,4,Married,4892,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1,2269.0
48,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,64,1,Male,98,2,3,Laboratory Technician,3,Single,19294,9,Y,Yes,13,3,4,80,0,23,2,3,1,0,0,0,5381.0
28,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,1,65,3,Male,50,3,1,Laboratory Technician,3,Single,11179,1,Y,Yes,13,3,3,80,0,2,3,2,2,2,2,2,3441.0
44,Travel_Rarely,1488,Sales,1,5,Marketing,1,68,2,Female,75,3,2,Sales Executive,1,Divorced,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3,5454.0
35,Non-Travel,1097,Research & Development,11,2,Medical,1,70,3,Male,79,2,3,Healthcare Representative,1,Married,8302,2,Y,Yes,13,3,3,80,1,10,3,3,4,0,2,3,9884.0
26,Travel_Rarely,1443,Sales,23,3,Marketing,1,72,3,Female,47,2,2,Sales Executive,4,Married,21436,7,Y,Yes,19,3,3,80,1,5,2,2,2,2,0,0,4157.0
33,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,73,1,Female,98,3,3,Research Director,4,Single,15146,1,Y,Yes,12,3,3,80,0,15,1,3,15,14,8,12,13458.0
35,Travel_Frequently,853,Sales,18,5,Life Sciences,1,74,2,Male,71,3,3,Sales Executive,1,Married,11031,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8,9069.0
35,Travel_Rarely,1142,Research & Development,23,4,Medical,1,75,3,Female,30,3,1,Laboratory Technician,1,Married,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2,4014.0
31,Travel_Rarely,655,Research & Development,7,4,Life Sciences,1,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,9528,3,Y,No,22,4,4,80,1,10,3,2,7,7,1,7,5915.0
37,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,2689,1,Y,No,18,3,3,80,1,7,2,4,7,5,0,7,5993.0
32,Travel_Rarely,427,Research & Development,1,3,Medical,1,78,1,Male,33,3,2,Manufacturing Director,4,Married,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8,6162.0
38,Travel_Frequently,653,Research & Development,29,5,Life Sciences,1,79,4,Female,50,3,2,Laboratory Technician,4,Single,5456,1,Y,No,11,3,4,80,0,10,2,3,10,3,9,9,2406.0
50,Travel_Rarely,989,Research & Development,7,2,Medical,1,80,2,Female,43,2,5,Research Director,3,Divorced,16701,5,Y,Yes,12,3,4,80,1,29,2,2,27,3,13,8,18740.0
59,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,81,1,Female,99,3,3,Sales Executive,1,Single,2354,7,Y,No,11,3,4,80,0,28,3,2,21,16,7,9,7637.0
36,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,83,3,Female,59,3,3,Healthcare Representative,3,Divorced,8202,1,Y,No,13,3,2,80,3,17,2,3,17,14,12,8,10096.0
55,Travel_Rarely,836,Research & Development,8,3,Medical,1,84,4,Female,33,3,4,Manager,3,Divorced,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5,0,0,2,14756.0
36,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,1,85,2,Male,95,2,2,Manufacturing Director,2,Single,22656,1,Y,No,13,3,3,80,0,6,3,3,6,5,0,3,6499.0
45,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,1,86,2,Male,59,3,3,Research Scientist,1,Divorced,18787,2,Y,No,17,3,3,80,1,25,2,3,1,0,0,0,9724.0
35,Travel_Frequently,664,Research & Development,1,3,Medical,1,88,2,Male,79,3,1,Research Scientist,1,Married,5868,4,Y,No,13,3,4,80,1,5,2,2,3,2,1,2,2194.0
36,Travel_Rarely,318,Research & Development,9,3,Medical,1,90,4,Male,79,2,1,Research Scientist,3,Married,21777,0,Y,Yes,17,3,1,80,1,2,0,2,1,0,0,0,3388.0
59,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,91,1,Female,57,2,2,Sales Executive,3,Single,24668,7,Y,No,11,3,4,80,0,20,2,2,4,3,1,3,5473.0
29,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,1,94,3,Male,76,3,1,Research Scientist,2,Married,4956,0,Y,No,23,4,4,80,1,6,3,3,5,4,0,4,2703.0
31,Travel_Rarely,1082,Research & Development,1,4,Medical,1,95,3,Male,87,3,1,Research Scientist,2,Single,18775,1,Y,No,17,3,2,80,0,1,4,3,1,1,1,0,2501.0
32,Travel_Rarely,548,Research & Development,1,3,Life Sciences,1,96,2,Male,66,3,2,Research Scientist,2,Married,7346,1,Y,No,17,3,2,80,2,10,3,3,10,4,0,9,6220.0
36,Travel_Rarely,132,Research & Development,6,3,Life Sciences,1,97,2,Female,55,4,1,Laboratory Technician,4,Married,22002,3,Y,No,12,3,2,80,0,5,3,3,1,0,0,0,3038.0
31,Travel_Rarely,746,Research & Development,8,4,Life Sciences,1,98,3,Female,61,3,2,Manufacturing Director,4,Single,20682,1,Y,No,23,4,4,80,0,11,2,3,11,7,1,8,4424.0
35,Travel_Rarely,776,Sales,1,4,Marketing,1,100,3,Male,32,2,2,Sales Executive,1,Single,23016,0,Y,No,14,3,2,80,0,16,2,3,15,13,2,8,4312.0
45,Travel_Rarely,193,Research & Development,6,4,Other,1,101,4,Male,52,3,3,Research Director,1,Married,15067,4,Y,Yes,14,3,2,80,0,17,3,4,0,0,0,0,13245.0
37,Travel_Rarely,397,Research & Development,7,4,Medical,1,102,1,Male,30,3,3,Research Director,3,Single,25258,4,Y,No,13,3,1,80,0,16,3,4,5,2,0,2,13664.0
46,Travel_Rarely,945,Human Resources,5,2,Medical,1,103,2,Male,80,3,2,Human Resources,2,Divorced,10425,8,Y,Yes,22,4,4,80,1,16,2,3,4,2,0,2,5021.0
30,Travel_Rarely,852,Research & Development,1,1,Life Sciences,1,104,4,Male,55,2,2,Laboratory Technician,4,Married,15998,1,Y,Yes,12,3,3,80,2,10,1,2,10,8,3,0,5126.0
35,Travel_Rarely,1214,Research & Development,1,3,Medical,1,105,2,Male,30,2,1,Research Scientist,3,Single,26278,1,Y,No,18,3,1,80,0,6,3,3,6,4,0,4,2859.0
55,Travel_Rarely,111,Sales,1,2,Life Sciences,1,106,1,Male,70,3,3,Sales Executive,4,Married,18092,3,Y,No,14,3,4,80,1,24,4,3,1,0,1,0,10239.0
38,Non-Travel,573,Research & Development,6,3,Medical,1,107,2,Female,79,1,2,Research Scientist,4,Divorced,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9,5329.0
34,Travel_Rarely,1153,Research & Development,1,2,Medical,1,110,1,Male,94,3,2,Manufacturing Director,2,Married,17736,1,Y,No,15,3,3,80,0,5,2,3,5,2,1,3,4325.0
56,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,1,112,4,Male,49,1,3,Manufacturing Director,4,Single,21698,4,Y,No,11,3,1,80,0,37,3,2,6,4,0,2,7260.0
23,Travel_Rarely,541,Sales,2,1,Technical Degree,1,113,3,Male,62,3,1,Sales Representative,1,Divorced,9518,3,Y,No,13,3,3,80,1,3,3,3,0,0,0,0,2322.0
51,Travel_Rarely,432,Research & Development,9,4,Life Sciences,1,116,4,Male,96,3,1,Laboratory Technician,4,Married,18725,3,Y,No,23,4,2,80,2,10,4,3,4,2,0,3,2075.0
30,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,117,3,Male,99,2,2,Healthcare Representative,4,Married,15830,1,Y,No,19,3,1,80,3,11,3,3,11,10,10,8,4152.0
46,Travel_Rarely,669,Sales,9,2,Medical,1,118,3,Male,64,2,3,Sales Executive,4,Single,13596,1,Y,No,16,3,4,80,0,9,3,3,9,8,4,7,9619.0
40,Travel_Frequently,530,Research & Development,1,4,Life Sciences,1,119,3,Male,78,2,4,Healthcare Representative,2,Married,14115,1,Y,No,22,4,4,80,1,22,3,2,22,3,11,11,13503.0
51,Travel_Rarely,632,Sales,21,4,Marketing,1,120,3,Male,71,3,2,Sales Executive,4,Single,8423,0,Y,Yes,22,4,4,80,0,11,2,1,10,7,1,0,5441.0
30,Travel_Rarely,1334,Sales,4,2,Medical,1,121,3,Female,63,2,2,Sales Executive,2,Divorced,19760,1,Y,Yes,12,3,2,80,3,11,4,2,11,8,2,7,5209.0
46,Travel_Frequently,638,Research & Development,1,3,Medical,1,124,3,Male,40,2,3,Healthcare Representative,1,Married,3142,2,Y,Yes,13,3,3,80,1,21,5,2,10,9,9,5,10673.0
32,Travel_Rarely,1093,Sales,6,4,Medical,1,125,2,Male,87,3,2,Sales Executive,3,Single,24301,1,Y,No,16,3,1,80,0,12,0,3,11,8,5,7,5010.0
54,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,126,1,Female,60,3,3,Research Director,3,Married,24001,9,Y,No,12,3,1,80,1,16,5,1,4,3,0,3,13549.0
24,Travel_Rarely,1353,Sales,3,2,Other,1,128,1,Female,33,3,2,Sales Executive,3,Married,17519,0,Y,No,21,4,1,80,1,4,2,2,3,2,0,2,4999.0
28,Non-Travel,120,Sales,4,3,Medical,1,129,2,Male,43,3,2,Sales Executive,3,Married,8863,1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4,4221.0
58,Travel_Rarely,682,Sales,10,4,Medical,1,131,4,Male,37,3,4,Sales Executive,3,Single,24409,0,Y,No,13,3,3,80,0,38,1,2,37,10,1,8,13872.0
44,Non-Travel,489,Research & Development,23,3,Medical,1,132,2,Male,67,3,2,Laboratory Technician,2,Married,25043,4,Y,No,12,3,3,80,1,17,3,4,3,2,1,2,2042.0
37,Travel_Rarely,807,Human Resources,6,4,Human Resources,1,133,3,Male,63,3,1,Human Resources,1,Divorced,23648,4,Y,Yes,22,4,4,80,0,7,3,3,3,2,0,2,2073.0
32,Travel_Rarely,827,Research & Development,1,1,Life Sciences,1,134,4,Male,71,3,1,Research Scientist,1,Single,15178,1,Y,No,13,3,4,80,0,1,2,3,1,0,0,0,2956.0
20,Travel_Frequently,871,Research & Development,6,3,Life Sciences,1,137,4,Female,66,2,1,Laboratory Technician,4,Single,19783,1,Y,Yes,18,3,2,80,0,1,5,3,1,0,1,0,2926.0
34,Travel_Rarely,665,Research & Development,6,4,Other,1,138,1,Female,41,3,2,Research Scientist,3,Single,12482,1,Y,No,14,3,3,80,0,16,3,3,16,13,2,10,4809.0
37,Non-Travel,1040,Research & Development,2,2,Life Sciences,1,139,3,Male,100,2,2,Healthcare Representative,4,Divorced,15850,5,Y,No,14,3,4,80,1,17,2,4,1,0,0,0,5163.0
59,Non-Travel,1420,Human Resources,2,4,Human Resources,1,140,3,Female,32,2,5,Manager,4,Married,21922,9,Y,No,21,4,4,80,1,30,3,3,3,2,2,2,18844.0
50,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,141,1,Female,73,3,5,Research Director,2,Married,9755,3,Y,Yes,19,3,1,80,0,28,1,2,8,3,0,7,18172.0
25,Travel_Rarely,240,Sales,5,3,Marketing,1,142,3,Male,46,2,2,Sales Executive,3,Single,26959,1,Y,Yes,11,3,4,80,0,6,1,3,6,4,0,3,5744.0
25,Travel_Rarely,1280,Research & Development,7,1,Medical,1,143,4,Male,64,2,1,Research Scientist,4,Married,26897,1,Y,No,11,3,3,80,2,2,2,3,2,2,2,1,2889.0
22,Travel_Rarely,534,Research & Development,15,3,Medical,1,144,2,Female,59,3,1,Laboratory Technician,4,Single,23785,1,Y,No,15,3,3,80,0,1,5,3,0,0,0,0,2871.0
51,Travel_Frequently,1456,Research & Development,1,4,Medical,1,145,1,Female,30,2,3,Healthcare Representative,1,Single,25796,3,Y,No,20,4,3,80,0,23,1,2,13,12,12,8,7484.0
34,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,147,1,Male,66,1,2,Laboratory Technician,3,Single,22887,1,Y,Yes,24,4,4,80,0,9,3,3,9,7,0,6,6074.0
54,Non-Travel,142,Human Resources,26,3,Human Resources,1,148,4,Female,30,4,4,Manager,4,Single,13871,2,Y,Yes,12,3,3,80,0,23,3,3,5,3,4,4,17328.0
24,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,1,150,2,Male,52,3,1,Laboratory Technician,3,Married,13257,0,Y,No,12,3,3,80,1,6,2,3,5,3,1,2,2774.0
34,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,1,151,3,Female,45,2,2,Research Scientist,2,Divorced,15000,6,Y,No,15,3,3,80,1,12,3,3,1,0,0,0,4505.0
37,Travel_Rarely,1189,Sales,3,3,Life Sciences,1,152,3,Male,87,3,3,Sales Executive,4,Single,14506,2,Y,No,12,3,1,80,0,12,3,3,5,3,1,3,7428.0
34,Travel_Rarely,1354,Research & Development,5,3,Medical,1,153,3,Female,45,2,3,Manager,1,Single,5615,2,Y,No,12,3,4,80,0,14,6,3,11,10,5,8,11631.0
36,Travel_Frequently,1467,Sales,11,2,Technical Degree,1,154,2,Female,92,3,3,Sales Executive,4,Married,22952,0,Y,No,14,3,3,80,1,10,6,3,9,7,2,8,9738.0
36,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,155,1,Female,39,3,1,Laboratory Technician,4,Divorced,2561,5,Y,No,22,4,1,80,1,7,2,3,1,0,0,0,2835.0
43,Travel_Frequently,394,Sales,26,2,Life Sciences,1,158,3,Male,92,3,4,Manager,4,Married,19494,1,Y,Yes,12,3,4,80,2,25,3,4,25,12,4,12,16959.0
30,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,159,1,Male,96,1,1,Research Scientist,3,Divorced,22310,1,Y,No,25,4,3,80,3,10,2,2,10,7,0,9,2613.0
33,Non-Travel,750,Sales,22,2,Marketing,1,160,3,Male,95,3,2,Sales Executive,2,Married,15480,0,Y,No,13,3,1,80,1,8,2,4,7,7,0,7,6146.0
56,Travel_Rarely,441,Research & Development,14,4,Life Sciences,1,161,2,Female,72,3,1,Research Scientist,2,Married,4510,9,Y,Yes,18,3,1,80,3,7,2,3,5,4,4,3,4963.0
51,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,162,1,Male,51,3,5,Research Director,3,Single,6462,7,Y,No,13,3,3,80,0,23,5,3,20,18,15,15,19537.0
31,Travel_Rarely,249,Sales,6,4,Life Sciences,1,163,2,Male,76,1,2,Sales Executive,3,Married,20739,4,Y,Yes,18,3,2,80,0,12,3,2,7,7,7,7,6172.0
26,Travel_Rarely,841,Research & Development,6,3,Other,1,164,3,Female,46,2,1,Research Scientist,2,Married,23300,1,Y,No,19,3,3,80,0,5,3,2,5,4,4,3,2368.0
58,Travel_Rarely,147,Research & Development,23,4,Medical,1,165,4,Female,94,3,3,Healthcare Representative,4,Married,3465,1,Y,No,12,3,4,80,1,40,3,2,40,10,15,6,10312.0
19,Travel_Rarely,528,Sales,22,1,Marketing,1,167,4,Male,50,3,1,Sales Representative,3,Single,26820,1,Y,Yes,19,3,4,80,0,0,2,2,0,0,0,0,1675.0
22,Travel_Rarely,594,Research & Development,2,1,Technical Degree,1,169,3,Male,100,3,1,Laboratory Technician,4,Married,19299,0,Y,No,14,3,3,80,1,3,2,3,2,1,2,1,2523.0
49,Travel_Rarely,470,Research & Development,20,4,Medical,1,170,3,Female,96,3,2,Manufacturing Director,1,Married,5549,1,Y,No,14,3,3,80,0,16,2,2,15,11,5,11,6567.0
43,Travel_Frequently,957,Research & Development,28,3,Medical,1,171,2,Female,72,4,1,Research Scientist,3,Single,16090,4,Y,No,12,3,4,80,0,18,2,3,3,2,1,2,4739.0
50,Travel_Frequently,809,Sales,12,3,Marketing,1,174,3,Female,77,3,3,Sales Executive,4,Single,6645,4,Y,No,11,3,4,80,0,16,3,3,2,2,2,1,9208.0
31,Travel_Rarely,542,Sales,20,3,Life Sciences,1,175,2,Female,71,1,2,Sales Executive,3,Married,24788,3,Y,Yes,11,3,3,80,1,4,2,3,2,2,2,2,4559.0
41,Travel_Rarely,802,Sales,9,1,Life Sciences,1,176,3,Male,96,3,3,Sales Executive,3,Divorced,21196,3,Y,Yes,13,3,3,80,1,12,2,3,9,7,0,7,8189.0
26,Travel_Rarely,1355,Human Resources,25,1,Life Sciences,1,177,3,Female,61,3,1,Human Resources,3,Married,8916,1,Y,No,23,4,4,80,1,8,3,3,8,7,5,7,2942.0
36,Travel_Rarely,216,Research & Development,6,2,Medical,1,178,2,Male,84,3,2,Manufacturing Director,2,Divorced,2819,6,Y,No,20,4,4,80,2,7,0,3,3,2,0,1,4941.0
51,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,1,179,1,Male,53,1,3,Manufacturing Director,4,Single,25150,2,Y,No,15,3,4,80,0,18,2,3,4,2,0,3,10650.0
39,Travel_Rarely,1329,Sales,4,4,Life Sciences,1,182,4,Female,47,2,2,Sales Executive,3,Married,14590,4,Y,No,14,3,3,80,1,17,1,4,15,11,5,9,5902.0
25,Travel_Rarely,959,Sales,28,3,Life Sciences,1,183,1,Male,41,2,2,Sales Executive,3,Married,24835,2,Y,No,18,3,4,80,0,6,3,3,2,2,2,2,8639.0
30,Travel_Rarely,1240,Human Resources,9,3,Human Resources,1,184,3,Male,48,3,2,Human Resources,4,Married,13982,0,Y,Yes,19,3,4,80,0,12,2,1,11,9,4,7,6347.0
